"anonyme_id","response","swahili","english","notes"
"135723","a","chamvi","caterpillar",NA
"135723","b","chale","lionfishes",NA
"135723","a","bocho","frogfishes",NA
"135723","b","mjafari","mjafari_plant",NA
"135723","b","panga","pin_shells",NA
"136745","b","popo_mayai","bat_reproduction",NA
"136745","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"136745","b","kambare","catfishes",NA
"136745","a","koho","vultures","KUTAMBAA B"
"136745","a","kijimbi","kingfishers","NGISI A"
"136745","b","papa","sharks_offspring",NA
"136745","b","ukukwi","green_spotted_snake",NA
"136745","b","mwani","seaweed",NA
"136745","b","kasa_kutaga","turtles_return",NA
"136745","b","koa","snails",NA
"136745","b","ngawa","civets",NA
"136745","b","komba_lala","bushbabies_sleep",NA
"136745","b","mkuu","mkuu_wa_usiku_tree",NA
"136745","a","koogwe","vervet_monkey","VIJINU B"
"136745","a","komba_ndizi","bushbabies_bananas",NA
"136745","b","popo_masikio","bats_ears",NA
"136745","a","popo_uchafu","bats_excrements",NA
"136745","a","chewa","groupers",NA
"136745","a","ndizi","banana_cooking",NA
"136745","b","taa","rays",NA
"136745","a","nyangumi","whales",NA
"136745",NA,"mgulele","mgulele_tree","NONE"
"136745","b","kubanja","crack_open",NA
"136745","b","pelele_vidole","hyraxes_fingers",NA
"136745","a","ulaya","ulaya_tree",NA
"136745","b","chepu","fly_larvae","KAMBA A"
"136745","b","dau","boat_building_wood",NA
"136745",NA,"mjusi","geckos","BOTH"
"136745","a","nduaro","tunas",NA
"136745","b","viazi","sweet_potatoes",NA
"136745","a","pweza","octopus",NA
"136745","a","kichachuli","young_monkey",NA
"136745","a","kasa","turtles_travel",NA
"136745","a","papa","sharks_dangerous","UFUKWENI B"
"136745","a","mbiliwili","swifts",NA
"136745","a","salile","ducks",NA
"136745","b","matunda","fruit",NA
"136745","a","pomboo","dolphins",NA
"136745","b","minazi","coconut",NA
"136745","b","chamvi","caterpillar",NA
"136745","a","chale","lionfishes",NA
"136745",NA,"bocho","frogfishes","BOTH"
"136745","a","mjafari","mjafari_plant",NA
"136745","b","panga","pin_shells",NA
"138251","nk","popo_mayai","bat_reproduction",NA
"138251","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"138251","b","kambare","catfishes",NA
"138251","nk","koho","vultures","KUTAMBAA B"
"138251","nk","kijimbi","kingfishers","NGISI B"
"138251",NA,"papa","sharks_offspring","NONE"
"138251","a","ukukwi","green_spotted_snake",NA
"138251","nk","mwani","seaweed",NA
"138251","nk","kasa_kutaga","turtles_return",NA
"138251",NA,"koa","snails","NONE"
"138251","nk","ngawa","civets",NA
"138251","a","komba_lala","bushbabies_sleep",NA
"138251","nk","mkuu","mkuu_wa_usiku_tree",NA
"138251","nk","koogwe","vervet_monkey","UIJINU A"
"138251","b","komba_ndizi","bushbabies_bananas",NA
"138251","nk","popo_masikio","bats_ears",NA
"138251","a","popo_uchafu","bats_excrements",NA
"138251","nk","chewa","groupers",NA
"138251","a","ndizi","banana_cooking",NA
"138251","nk","taa","rays",NA
"138251","b","nyangumi","whales",NA
"138251",NA,"mgulele","mgulele_tree","NONE"
"138251",NA,"kubanja","crack_open","NONE"
"138251","b","pelele_vidole","hyraxes_fingers","5 FINGE"
"138251","nk","ulaya","ulaya_tree",NA
"138251","nk","chepu","fly_larvae","KAMBA A"
"138251",NA,"dau","boat_building_wood","NONE"
"138251","nk","mjusi","geckos",NA
"138251","b","nduaro","tunas",NA
"138251","nk","viazi","sweet_potatoes",NA
"138251",NA,"pweza","octopus","NJORO"
"138251","a","kichachuli","young_monkey",NA
"138251","nk","kasa","turtles_travel",NA
"138251","nk","papa","sharks_dangerous","UFUKWENI NOT KNOW"
"138251","b","mbiliwili","swifts",NA
"138251","nk","salile","ducks",NA
"138251","b","matunda","fruit",NA
"138251","b","pomboo","dolphins",NA
"138251","nk","minazi","coconut",NA
"138251","nk","chamvi","caterpillar",NA
"138251","nk","chale","lionfishes",NA
"138251","nk","bocho","frogfishes",NA
"138251","nk","mjafari","mjafari_plant",NA
"138251","a","panga","pin_shells",NA
"138451","b","popo_mayai","bat_reproduction",NA
"138451","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"138451","b","kambare","catfishes",NA
"138451","b","koho","vultures","KUTAMBAA B"
"138451",NA,"kijimbi","kingfishers","NONE"
"138451","b","papa","sharks_offspring","NGISI A"
"138451","b","ukukwi","green_spotted_snake",NA
"138451","a","mwani","seaweed",NA
"138451","b","kasa_kutaga","turtles_return",NA
"138451","b","koa","snails",NA
"138451","b","ngawa","civets",NA
"138451","b","komba_lala","bushbabies_sleep",NA
"138451","b","mkuu","mkuu_wa_usiku_tree",NA
"138451","b","koogwe","vervet_monkey","VIJINU"
"138451","b","komba_ndizi","bushbabies_bananas",NA
"138451","b","popo_masikio","bats_ears",NA
"138451","a","popo_uchafu","bats_excrements",NA
"138451","a","chewa","groupers",NA
"138451","a","ndizi","banana_cooking",NA
"138451","a","taa","rays",NA
"138451","a","nyangumi","whales",NA
"138451",NA,"mgulele","mgulele_tree","NONE"
"138451","b","kubanja","crack_open",NA
"138451","b","pelele_vidole","hyraxes_fingers",NA
"138451","a","ulaya","ulaya_tree",NA
"138451","b","chepu","fly_larvae","KAMBAA"
"138451","b","dau","boat_building_wood",NA
"138451","b","mjusi","geckos",NA
"138451","a","nduaro","tunas",NA
"138451","b","viazi","sweet_potatoes",NA
"138451","b","pweza","octopus",NA
"138451","a","kichachuli","young_monkey",NA
"138451","b","kasa","turtles_travel",NA
"138451","b","papa","sharks_dangerous","UFUKWENI A"
"138451","b","mbiliwili","swifts",NA
"138451","a","salile","ducks",NA
"138451","b","matunda","fruit",NA
"138451","a","pomboo","dolphins",NA
"138451","b","minazi","coconut",NA
"138451","a","chamvi","caterpillar",NA
"138451","a","chale","lionfishes",NA
"138451","b","bocho","frogfishes",NA
"138451","a","mjafari","mjafari_plant",NA
"138451","a","panga","pin_shells",NA
"14109","b","popo_mayai","bat_reproduction",NA
"14109","b","pelele_panda","hyraxes_climb_trees","MIKANDAA BOTH"
"14109","b","kambare","catfishes",NA
"14109","a","koho","vultures","KUTAMBAA BOTH"
"14109","a","kijimbi","kingfishers","NGISI A"
"14109","b","papa","sharks_offspring",NA
"14109","a","ukukwi","green_spotted_snake",NA
"14109","b","mwani","seaweed",NA
"14109","b","kasa_kutaga","turtles_return",NA
"14109",NA,"koa","snails","BOTH"
"14109","a","ngawa","civets",NA
"14109","b","komba_lala","bushbabies_sleep",NA
"14109","b","mkuu","mkuu_wa_usiku_tree",NA
"14109","a","koogwe","vervet_monkey","UIJINV A"
"14109","b","komba_ndizi","bushbabies_bananas",NA
"14109","b","popo_masikio","bats_ears",NA
"14109","a","popo_uchafu","bats_excrements",NA
"14109","a","chewa","groupers",NA
"14109","b","ndizi","banana_cooking",NA
"14109","b","taa","rays",NA
"14109","a","nyangumi","whales",NA
"14109","b","mgulele","mgulele_tree",NA
"14109","b","kubanja","crack_open",NA
"14109","b","pelele_vidole","hyraxes_fingers",NA
"14109","b","ulaya","ulaya_tree",NA
"14109","a","chepu","fly_larvae","KAMBA A"
"14109","a","dau","boat_building_wood",NA
"14109","a","mjusi","geckos",NA
"14109","a","nduaro","tunas",NA
"14109","b","viazi","sweet_potatoes",NA
"14109","a","pweza","octopus",NA
"14109","a","kichachuli","young_monkey",NA
"14109","b","kasa","turtles_travel",NA
"14109","b","papa","sharks_dangerous","UFUKWENI A"
"14109","a","mbiliwili","swifts",NA
"14109","b","salile","ducks",NA
"14109","b","matunda","fruit",NA
"14109","a","pomboo","dolphins",NA
"14109","b","minazi","coconut",NA
"14109","a","chamvi","caterpillar",NA
"14109","a","chale","lionfishes",NA
"14109","b","bocho","frogfishes",NA
"14109","a","mjafari","mjafari_plant",NA
"14109","b","panga","pin_shells",NA
"17547","b","popo_mayai","bat_reproduction",NA
"17547","b","pelele_panda","hyraxes_climb_trees","MIKANDA B"
"17547",NA,"kambare","catfishes","BOTH"
"17547","a","koho","vultures","KUTAMBAA DONT KNOW"
"17547","a","kijimbi","kingfishers","NGISI A"
"17547","a","papa","sharks_offspring",NA
"17547","a","ukukwi","green_spotted_snake",NA
"17547",NA,"mwani","seaweed","BAMVUA"
"17547","a","kasa_kutaga","turtles_return",NA
"17547",NA,"koa","snails","NONE"
"17547","a","ngawa","civets",NA
"17547","a","komba_lala","bushbabies_sleep",NA
"17547","b","mkuu","mkuu_wa_usiku_tree",NA
"17547","a","koogwe","vervet_monkey","VIJINU A"
"17547","b","komba_ndizi","bushbabies_bananas",NA
"17547","a","popo_masikio","bats_ears",NA
"17547","a","popo_uchafu","bats_excrements",NA
"17547","a","chewa","groupers",NA
"17547","a","ndizi","banana_cooking",NA
"17547","a","taa","rays",NA
"17547","a","nyangumi","whales",NA
"17547","a","mgulele","mgulele_tree",NA
"17547","b","kubanja","crack_open",NA
"17547","b","pelele_vidole","hyraxes_fingers","5"
"17547","b","ulaya","ulaya_tree",NA
"17547","b","chepu","fly_larvae","KAMBA A"
"17547","a","dau","boat_building_wood",NA
"17547",NA,"mjusi","geckos","BOTH"
"17547","a","nduaro","tunas",NA
"17547","b","viazi","sweet_potatoes",NA
"17547",NA,"pweza","octopus","BOTH"
"17547","b","kichachuli","young_monkey",NA
"17547","b","kasa","turtles_travel",NA
"17547","b","papa","sharks_dangerous","UFUKWENI A"
"17547","a","mbiliwili","swifts",NA
"17547","b","salile","ducks",NA
"17547","b","matunda","fruit",NA
"17547","a","pomboo","dolphins",NA
"17547","b","minazi","coconut",NA
"17547","a","chamvi","caterpillar",NA
"17547","a","chale","lionfishes",NA
"17547","a","bocho","frogfishes",NA
"17547","b","mjafari","mjafari_plant",NA
"17547","a","panga","pin_shells",NA
"184723","b","popo_mayai","bat_reproduction",NA
"184723","b","pelele_panda","hyraxes_climb_trees","MIKANDAA B"
"184723","b","kambare","catfishes",NA
"184723","a","koho","vultures","KUTAMBAA B"
"184723","b","kijimbi","kingfishers","NGISI A"
"184723","a","papa","sharks_offspring",NA
